:START_ID,:END_ID,corresponding:int,MAIN_AUTH:bool
2313330,8966836,NA,1
665829,8966933,NA,1
665965,8966943,NA,1
598527,8966992,NA,1
2369843,8967010,NA,1
2369843,8967011,NA,0
1842383,8967014,NA,1
2806970,8967018,NA,1
198720,8967031,NA,1
1304062,8967034,NA,1
2164840,8967035,NA,1
100439,8967116,NA,1
1083731,8967116,NA,1
358934,8967128,NA,1
1795220,8967145,NA,1
2808446,8967146,NA,1
1364812,8967183,NA,1
1206121,8967186,NA,1
2215877,8967187,NA,1
2338938,8967220,NA,1
2335201,8967220,NA,1
1576139,8967221,NA,1
122351,8967236,NA,1
1956979,8967238,NA,1
1919819,8967243,NA,1
1347817,8967262,NA,1
256761,8967273,NA,1
630036,8967280,NA,1
2807080,8967282,NA,1
2094582,8967310,NA,1
1664808,8967311,NA,1
2324025,8967314,NA,1
1517915,8967322,NA,1
2313605,8967411,NA,1
1745792,8967419,NA,1
1745792,8967421,NA,0
188483,8967437,NA,1
2210122,8967444,NA,1
1531263,8967464,NA,1
2832566,8967469,NA,1
2325878,8967475,NA,1
122351,8967475,NA,0
420405,8967477,NA,1
420405,8967478,NA,0
973453,8967504,NA,1
96073,8967514,NA,1
1936067,8967524,NA,1
1664808,8967533,NA,0
2218489,8967544,NA,1
1977827,8967564,NA,1
231014,8967625,NA,1
2251761,8967640,NA,1
271763,8967656,NA,1
828875,8967656,NA,1
675329,8967733,NA,1
675329,8967734,NA,0
326913,8967792,NA,1
1311677,8967794,NA,1
326913,8967794,NA,0
2264800,8967794,NA,1
1719898,8967796,NA,1
2547049,8967827,NA,1
2266754,8967971,NA,1
2676543,8967971,NA,1
1305742,8967987,NA,1
1302776,8967987,NA,1
384360,8967991,NA,1
1302686,8968002,NA,1
616722,8968014,NA,1
1293700,8968015,NA,1
2799912,8968143,NA,1
389293,8968153,NA,1
2787459,8968203,NA,1
2787459,8968204,NA,0
931485,8968233,NA,1
1084654,8968249,NA,1
2501904,8968285,NA,1
2697856,8968377,NA,1
1251853,8968394,NA,1
2433200,8968488,NA,1
1399674,8968488,NA,1
2433200,8968490,NA,0
1399674,8968490,NA,0
1274345,8968490,NA,1
175260,8968513,NA,1
2069725,8968536,NA,1
2698032,8968536,NA,1
2700907,8968571,NA,1
978979,8968588,NA,1
683864,8968588,NA,1
29501,8968591,NA,1
1893705,8968595,NA,1
1453947,8968600,NA,1
1144257,8968609,NA,1
1144257,8968611,NA,0
448599,8968628,NA,1
2606302,8968629,NA,1
1639716,8968644,NA,1
1783545,8968647,NA,1
2005967,8968649,NA,1
1918931,8968650,NA,1
1637742,8968661,NA,1
2152837,8968686,NA,1
480324,8968687,NA,1
1995329,8968690,NA,1
846807,8968690,NA,1
1995329,8968691,NA,0
744925,8968694,NA,1
1811909,8968697,NA,1
728343,8968700,NA,1
2103974,8968711,NA,1
2191269,8968714,NA,1
348859,8968717,NA,1
665905,8968744,NA,1
2082782,8968745,NA,1
2082782,8968746,NA,0
2701097,8968756,NA,1
2711546,8968756,NA,1
1669728,8968765,NA,1
1514450,8968788,NA,1
1766087,8968800,NA,1
1731509,8968800,NA,1
2094165,8968801,NA,1
1873692,8968805,NA,1
1653296,8968808,NA,1
2488918,8968809,NA,1
427247,8968846,NA,1
743730,8968851,NA,1
2696809,8968875,NA,1
2787282,8968882,NA,1
2197266,8968892,NA,1
2781394,8968903,NA,1
1038548,8968919,NA,1
806418,8968969,NA,1
1222037,8968971,NA,1
170020,8968974,NA,1
710930,8968978,NA,1
636400,8968978,NA,1
1100091,8968988,NA,1
176392,8968994,NA,1
176392,8968995,NA,0
1457214,8968999,NA,1
174617,8969037,NA,1
1399199,8969043,NA,1
2296894,8969063,NA,1
1158045,8969063,NA,1
