:START_ID,:END_ID
2055131,347
2055131,319
2055131,390
2488918,298
2488918,27
2488918,189
2488918,356
2488918,147
2488918,242
2167410,109
2167410,288
2167410,378
2167410,143
2167410,132
2167410,284
2517906,101
2517906,253
2517906,234
2517906,394
2517906,361
2517906,385
1311062,340
1311062,147
1311062,289
1311062,55
1311062,36
1311062,281
1311062,66
496409,35
496409,141
496409,290
496409,386
496409,129
496409,18
941070,362
941070,296
941070,341
1458775,221
1458775,384
1458775,293
1458775,122
2074173,106
2074173,399
2074173,264
2074173,95
2074173,375
2074173,45
2808073,330
2808073,223
2808073,17
2808073,278
2808073,3
124812,365
124812,284
124812,283
124812,143
124812,90
124812,336
457205,333
457205,12
457205,77
457205,146
457205,357
2096517,198
2096517,265
2096517,240
2096517,252
31241,18
31241,79
31241,196
31241,106
31241,367
31241,351
31241,168
1128220,271
1128220,93
1128220,126
1128220,285
1327898,243
1327898,362
1327898,379
1327898,352
1327898,140
1327898,347
1327898,19
1119651,329
1119651,299
1119651,279
1119651,213
1159821,209
1159821,96
1159821,216
1159821,101
531721,235
531721,221
531721,391
2701423,196
2701423,10
2701423,218
2701423,249
1303345,168
1303345,326
1303345,293
1303345,80
945706,72
945706,69
945706,86
945706,5
2739947,394
2739947,138
2739947,352
2017525,25
2017525,130
2017525,312
1840279,48
1840279,133
1840279,1
1840279,221
1124365,336
1124365,81
1124365,233
1124365,200
1124365,264
1124365,211
1124365,232
1992491,398
1992491,191
1992491,249
1992491,351
1992491,401
1556467,274
1556467,382
1556467,315
1556467,81
1556467,204
1556467,66
1556467,317
664755,44
664755,258
664755,329
664755,237
664755,116
664755,261
664755,20
1389680,322
1389680,3
1389680,52
2257088,303
2257088,12
2257088,231
2257088,295
2257088,144
44826,152
44826,386
44826,16
44826,134
556220,290
556220,40
556220,106
556220,100
1945596,317
1945596,256
1945596,263
1945596,29
1945596,320
1069123,275
1069123,14
1069123,385
1045378,48
1045378,204
1045378,341
1045378,218
1045378,169
1045378,159
2469344,397
2469344,312
2469344,175
2469344,106
2568370,8
2568370,357
2568370,310
2568370,41
1763673,88
1763673,261
1763673,390
1763673,288
1763673,394
1763673,276
1763673,375
405834,100
405834,249
405834,93
405834,100
405834,126
405834,208
405834,308
2226796,117
2226796,38
2226796,98
2226796,187
2226796,40
1234640,240
1234640,235
1234640,371
1234640,338
1234640,138
1234640,247
2633111,299
2633111,100
2633111,87
2633111,264
2201728,66
2201728,312
2201728,209
2201728,246
2201728,190
2201728,322
757783,131
757783,26
757783,218
757783,194
930218,198
930218,107
930218,198
930218,289
930218,359
196771,375
196771,251
196771,284
196771,169
196771,304
196771,376
149894,123
149894,389
149894,312
149894,31
149894,159
182373,304
182373,123
182373,267
182373,214
1786597,147
1786597,133
1786597,92
1786597,401
1786597,348
1786597,272
2737273,249
2737273,96
2737273,356
2353117,149
2353117,79
2353117,380
2353117,233
912840,64
912840,58
912840,47
912840,197
912840,267
912840,223
627105,349
627105,94
627105,10
627105,71
627105,235
2087556,234
2087556,402
2087556,401
1430792,259
1430792,8
1430792,331
1430792,162
1430792,210
2079926,213
2079926,105
2079926,185
2079926,56
2079926,75
254167,104
254167,26
254167,36
254167,386
254167,201
254167,99
1252365,74
1252365,33
1252365,257
693071,404
693071,109
693071,267
693071,110
693071,393
693071,323
693071,259
2253033,308
2253033,326
2253033,403
2253033,293
2253033,213
