article:ID,author:string[],author-aux:string,author-orcid:string[],booktitle:string,cdate:date,cdrom:string,cite:string[],cite-label:string[],crossref:string,editor:string[],editor-orcid:string[],ee:string[],ee-type:string[],i:string[],journal:string,key:string,mdate:date,month:string,note:string[],note-label:string,note-type:string[],number:string,pages:string,publisher:string,publnr:string,publtype:string,sub:string[],sup:string[],title:string[],title-bibtex:string,tt:string[],url:string,volume:string,year:int,abstract:string[]
2055131,Li Zhai|Weiguo Fan|Xiangbin Yan|Xiujuan Li,NA,0000-0003-1272-5538,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1007/s11192-014-1360-1,NA,NA,Scientometrics,journals/scientometrics/ZhaiLYF14,2020-07-17,NA,NA,NA,NA,3,1657-1677,NA,NA,NA,NA,NA,Evolutionary analysis of collaboration networks in the field of information systems.,NA,NA,db/journals/scientometrics/scientometrics101.html#ZhaiLYF14,101,2014,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2488918,David R. Hoogstrate|Edward A. Sickles|Fei Cao|H. K. Huang|Jun Wang|Mohammad Jahangiri|Shieh-Liang Lou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1109/4233.681171|https://www.wikidata.org/entity/Q39549043,NA,NA,IEEE Trans. Inf. Technol. Biomed.,journals/titb/LouSHHCWJ97,2020-05-13,NA,NA,NA,NA,4,270-278,NA,NA,NA,NA,NA,"Full-field direct digital telemammography: technical components, study protocols, and preliminary results.",NA,NA,db/journals/titb/titb1.html#LouSHHCWJ97,1,1997,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2167410,Christopher J. Shaw|T. N. Trimble,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1145/366604.368655,NA,NA,Commun. ACM,journals/cacm/ShawT63,2018-11-06,NA,NA,NA,NA,6,312-313,NA,NA,NA,NA,NA,Algorithm 175: shuttle sort.,NA,NA,db/journals/cacm/cacm6.html#ShawT63,6,1963,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2517906,Alexandre Wagemakers|Alvar Daza|Miguel A. F. Sanjuán|Shanmuganathan Rajasekar,NA,0000-0002-8299-0196|0000-0003-2428-5744,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1016/j.cnsns.2012.07.010,NA,NA,Commun. Nonlinear Sci. Numer. Simul.,journals/cnsns/DazaWRS13,2020-09-05,NA,NA,NA,NA,2,411-416,NA,NA,NA,NA,NA,Vibrational resonance in a time-delayed genetic toggle switch.,NA,NA,db/journals/cnsns/cnsns18.html#DazaWRS13,18,2013,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1311062,Bin Fan|Jihuang Dai|Yuchao Dai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1016/j.neucom.2021.08.008,NA,NA,Neurocomputing,journals/ijon/DaiDF21,2021-10-18,NA,NA,NA,NA,NA,472-482,NA,NA,NA,NA,NA,Self-supervised multi-body scene flow estimation.,NA,NA,db/journals/ijon/ijon463.html#DaiDF21,463,2021,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
496409,Jeffrey L. Popyack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1145/2822903,NA,NA,Inroads,journals/inroads/Popyack15b,2018-11-06,NA,NA,NA,NA,4,38-50,NA,NA,NA,NA,NA,Recognizing excellence and beyond.,NA,NA,db/journals/inroads/inroads6.html#Popyack15b,6,2015,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
941070,Diego E. M. Gomes|Diego Moreira|J. Ederson M. Braga|Lihe Wang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1137/19M1262863,NA,NA,SIAM J. Math. Anal.,journals/siamma/BragaGMW20,2020-11-26,NA,NA,NA,NA,5,4469-4505,NA,NA,NA,NA,NA,Krylov's Boundary Gradient Type Estimates for Solutions to Fully Nonlinear Differential Inequalities with Quadratic Growth on the Gradient.,NA,NA,db/journals/siamma/siamma52.html#BragaGMW20,52,2020,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
1458775,Mounir Boukadoum|Nabila Nouaouria,NA,0000-0001-6614-0979,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1142/S0219622013500284,NA,NA,Int. J. Inf. Technol. Decis. Mak.,journals/ijitdm/NouaouriaB13,2020-03-13,NA,NA,NA,NA,4,757-788,NA,NA,NA,NA,NA,From Adaptation-Guided Retrieval to Reuse-Guided Retrieval: Application to Case Retrieval Net Memory Model.,NA,NA,db/journals/ijitdm/ijitdm12.html#NouaouriaB13,12,2013,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2074173,Carmelo Militello|Filippo Sorbello|Salvatore Vitabile|Vincenzo Conti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comput. Syst. Sci. Eng.,journals/csse/MilitelloCSV14,2014-08-05,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,A fast fusion technique for fingerprint and iris spatial descriptors in multimodal biometric systems.,NA,NA,db/journals/csse/csse29.html#MilitelloCSV14,29,2014,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
2808073,Avrim Blum|Dan Roth|Eyal Kushilevitz|Howard Aizenstein|Leonard Pitt|Roni Khardon,NA,0000-0003-4897-6582,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.1137/S0097539794274398,NA,NA,SIAM J. Comput.,journals/siamcomp/AizensteinBKKPR98,2018-11-02,NA,NA,NA,NA,6,1515-1530,NA,NA,NA,NA,NA,On Learning Read-k-Satisfy-j DNF.,NA,NA,db/journals/siamcomp/siamcomp27.html#AizensteinBKKPR98,27,1998,ABCDEFGHILMNOPQRTXYZ abc def ghi lmn
