:START_ID,:END_ID
1,2055131
2,2488918
3,2167410
4,2517906
5,1311062
6,496409
7,941070
8,1458775
9,2074173
10,2808073
11,124812
12,457205
13,2096517
14,31241
15,1128220
16,1327898
17,1119651
18,1159821
19,531721
20,2701423
21,1303345
22,945706
23,2739947
24,2017525
25,1840279
26,1124365
27,1992491
28,1556467
29,664755
30,1389680
31,2257088
32,44826
33,556220
34,1945596
35,1069123
36,1045378
37,2469344
38,2568370
39,1763673
40,405834
41,2226796
42,1234640
43,2633111
44,2201728
45,757783
46,930218
47,196771
48,149894
49,182373
50,1786597
51,2737273
52,2353117
53,912840
54,627105
55,2087556
56,1430792
57,2079926
58,254167
59,1252365
60,693071
61,2253033
62,754987
63,2797510
64,2155819
65,2780129
66,643689
67,2693113
68,449032
69,1715464
70,2686735
71,1963908
72,1448407
73,1077040
74,971041
75,163321
76,1767953
77,2728782
78,1869671
79,1461729
80,450823
81,2473935
82,1473349
83,52276
84,81812
85,435178
86,884776
87,2348479
88,1439468
89,2286631
90,198014
91,2634974
92,2299527
93,249900
94,1717065
95,2037913
96,1471672
97,2052857
98,2136393
99,297024
100,1146733
101,855180
102,1763149
103,2764678
104,1765857
105,1492737
106,2563685
107,1820180
108,2456698
109,733785
110,632817
111,1741177
112,1106454
113,2151294
114,1096068
115,2262524
116,2572602
117,2791975
118,1680377
119,54561
120,928982
121,1599898
122,1474661
123,280419
124,1949549
125,2024427
126,2277244
127,2680093
128,553216
129,810860
130,2204519
131,121761
132,1917548
133,2312344
134,1892786
135,2681195
136,2486199
137,1989131
138,548719
139,302352
140,2298316
141,1493862
142,1978401
143,636340
144,1798960
145,442159
146,2722059
147,2808984
148,1422901
149,2611656
150,1074754
151,2352348
152,1598714
153,2264452
154,1018440
155,614488
156,2233951
157,1948953
158,1242466
159,2406604
160,1719898
161,2110342
162,1699989
163,2420968
164,2315494
165,1097973
166,1411319
167,2818113
168,517995
169,2372561
170,1141074
171,2749999
172,557577
173,2134308
174,894376
175,1094148
176,2138630
177,2008231
178,2614277
179,2263328
180,2357980
181,499673
182,1180704
