:ID,author:string
8966836,Rudi Studer
8966933,Hinrich Schütze
8966943,Bernhard Nebel
8966992,Christoph Meinel
8967010,Rainer Tichatschke
8967011,Alexander Kaplan
8967014,Artur Czumaj
8967018,Klaus Jansen
8967031,Beniamino Di Martino
8967034,Anna Bernasconi 0001
8967035,Igor E. Shparlinski
8967116,Markus Holzer 0001
8967128,Wolfgang Effelsberg
8967145,Thomas Schwentick
8967146,Heribert Vollmer
8967183,Chen-Mou Cheng
8967186,Kui Ren 0001
8967187,Carlisle Adams
8967220,Ran Canetti
8967221,Cristina Nita-Rotaru
8967236,Berk Sunar
8967238,Dan S. Wallach
8967243,Claude Carlet
8967262,Salil P. Vadhan
8967273,Trent Jaeger
8967280,Fabio Scotti
8967282,Dalit Naor
8967310,Anil K. Jain 0001
8967311,Angelos Stavrou
8967314,Nicky Mouha
8967322,Xiaokui Xiao
8967411,Günther Pernul
8967419,David Zhang 0001
8967421,Wangmeng Zuo
8967437,Stefano Paraboschi
8967444,William Stallings
8967464,Konstantinos N. Plataniotis
8967469,Alessandro Orso
8967475,Thomas Eisenbarth 0001
8967477,Panos Papadimitratos
8967478,Jean-Pierre Hubaux
8967504,Johannes Gehrke
8967514,Philippe Gaborit
8967524,Charu C. Aggarwal
8967533,George Kesidis
8967544,Wesley M. Eddy
8967564,Pijush Samui
8967625,Ilias Maglogiannis
8967640,Ellen Yi-Luen Do
8967656,Juan Carlos Augusto
8967733,Annalisa Franco
8967734,Dario Maio
8967792,Rami Puzis
8967794,Yuval Elovici
8967796,Hari Sundaram
8967827,Ronald R. Yager
8967971,Eby G. Friedman
8967987,Wayne H. Wolf
8967991,Wen-mei W. Hwu
8968002,Massoud Pedram
8968014,Mohammed Ismail 0001
8968015,Chi-Hung Lin
8968143,Srini Ramaswamy
8968153,Alexandre Dolgui
8968203,Wing Bun Lee
8968204,Benny C. F. Cheung
8968233,Darwin G. Caldwell
8968249,Thomas F. Edgar
8968285,Francis J. Doyle III
8968377,Nadia Magnenat-Thalmann
8968394,Santiago Ontañón
8968488,Fabrizio Lamberti
8968490,Andrea Sanna
8968513,Risto Miikkulainen
8968536,Lizhuang Ma
8968571,Daniel Thalmann
8968588,Wil M. P. van der Aalst
8968591,Keith W. Miller 0001
8968595,João Marques-Silva 0001
8968600,Min Chen 0001
8968609,Pavel Zezula
8968611,Michal Batko
8968628,Yiyu Yao
8968629,Ning Zhong 0001
8968644,Issam W. Damaj
8968647,Xiaolong Jin
8968649,George C. Polyzos
8968650,George Xylomenos
8968661,Xingquan Zhu 0001
8968686,Shiao-Li Tsao
8968687,Yi-Bing Lin
8968690,Patricia Melin
8968691,Oscar Castillo 0001
8968694,Ee-Peng Lim
8968697,Bhaskar DasGupta
8968700,Zili Zhang
8968711,Gábor Horváth 0001
8968714,Cheng Chang
8968717,Adam M. Johansen
8968744,Martin Erwig
8968745,Thomas R. Jefferson
8968746,Carlton H. Scott
8968756,Jaroslav Krivánek
8968765,Juho Kannala
8968788,Huan Liu 0001
8968800,Li Yang
8968801,Tosiyasu L. Kunii
8968805,Calin Belta
8968808,Jong-Kook Kim
8968809,Fei Cao
8968846,Stephen S. Yau
8968851,Zahari Zlatev
8968875,Taku Komura
8968882,Taghi M. Khoshgoftaar
8968892,Li Zhang
8968903,Maya B. Gokhale
8968919,Witold Pedrycz
8968969,Ashraf A. Kassim
8968971,Tim Bell
8968974,Yong Rui
8968978,Jiannong Cao 0001
8968988,Jeffrey M. Voas
8968994,James M. Kang
8968995,Shashi Shekhar
8968999,John Grant
8969037,Henry Muccini
8969043,Joseph J. LaViola Jr.
8969063,Jarkko Kari
8969088,Kien A. Hua
8969089,Wallapak Tavanapong
8969091,Panos M. Pardalos
8969102,Nir A. Sochen
8969112,Auke Jan Ijspeert
8969119,Robin A. A. Ince
8969120,Stefano Panzeri
8969134,James D. Weiland
8969159,Sonja A. Kotz
8969209,Matthias H. Hennig
8969212,Mukesh Dhamala
8969342,David P. Nickerson
8969343,Peter J. Hunter
8969362,Robert J. Butera
8969405,Dan F. M. Goodman
8969420,Chi-Sang Poon
8969459,Panayiota Poirazi
8969565,Eduardo Fernández 0001
8969602,Aapo Hyvärinen
8969626,David Holcman
8969631,David N. Kennedy
8969658,Laurenz Wiskott
8969678,Richard C. Gerkin
8969704,Robert Legenstein
8969707,Paul C. Bressloff
8969801,Haim Kilov
8969815,Raghvinder S. Sangwan
8969826,W. Eric Wong
8969837,Len Bass
8969838,Robert L. Nord
8969839,Ipek Ozkaya
8969860,Dick Hamlet
8969862,Scott Hauck
8969864,Richard F. Paige
8969871,Ravishankar K. Iyer
8969874,Zbigniew Kalbarczyk
8969877,Fernando Berzal
8969900,Robert M. Hierons
8969901,Mercedes G. Merayo
8969909,Hai Jiang 0001
8969910,Ping Wang 0001
8969919,Abdulmotaleb El-Saddik
8969939,Hüseyin Arslan
8969951,Alexander M. Wyglinski
8969990,Alan C. Bovik
8969991,Robert W. Heath Jr.
8970015,Qing Ye
8970026,Tao Jiang
8970043,Nicholas Bambos
8970046,Susan D. Hansche
8970051,Imad Mahgoub
8970177,Pedro Cuenca 0001
8970220,Boualem Boashash
8970222,Symeon Papavassiliou
8970233,Marvin K. Simon
8970240,Lazaros F. Merakos
8970274,Lajos Hanzo
8970305,Schahram Dustdar
8970307,Mourad Debbabi
8970365,Gruia Calinescu
8970373,Lie-Liang Yang
8970386,Claudio E. Palazzi
8970401,Chadi Assi
8970415,Stephen G. MacDonell
8970417,Gian Luca Marcialis
8970418,Fabio Roli
8970428,Qi Shi
8970443,Lynn Margaret Batten
8970511,Wanlei Zhou
