:START_ID,:END_ID,decision:bool,text:strin[]
9345075,1,0,Forza juve next year we'll win the champions
9495928,2,1,Forza juve next year we'll win the champions
9460496,3,1,Forza juve next year we'll win the champions
9257671,4,1,Forza juve next year we'll win the champions
9060353,5,0,Forza juve next year we'll win the champions
9045529,6,1,Forza juve next year we'll win the champions
9112025,7,1,Forza juve next year we'll win the champions
9303375,8,0,Forza juve next year we'll win the champions
9638186,9,1,Forza juve next year we'll win the champions
9187819,10,1,Forza juve next year we'll win the champions
9149443,11,1,Forza juve next year we'll win the champions
9144217,12,1,Forza juve next year we'll win the champions
9257671,13,1,Forza juve next year we'll win the champions
10343677,14,1,Forza juve next year we'll win the champions
9241931,15,1,Forza juve next year we'll win the champions
10348313,16,1,Forza juve next year we'll win the champions
9060032,17,0,Forza juve next year we'll win the champions
9724932,18,1,Forza juve next year we'll win the champions
8982966,19,1,Forza juve next year we'll win the champions
9575672,20,0,Forza juve next year we'll win the champions
10567697,21,1,Forza juve next year we'll win the champions
10518052,22,1,Forza juve next year we'll win the champions
9443905,23,0,Forza juve next year we'll win the champions
9408543,24,1,Forza juve next year we'll win the champions
10429617,25,1,Forza juve next year we'll win the champions
9283045,26,1,Forza juve next year we'll win the champions
9084034,27,1,Forza juve next year we'll win the champions
9905430,28,1,Forza juve next year we'll win the champions
9128484,29,0,Forza juve next year we'll win the champions
9057816,30,1,Forza juve next year we'll win the champions
9226003,31,1,Forza juve next year we'll win the champions
9061850,32,0,Forza juve next year we'll win the champions
9303751,33,1,Forza juve next year we'll win the champions
9227355,34,1,Forza juve next year we'll win the champions
9481786,35,1,Forza juve next year we'll win the champions
9318990,36,1,Forza juve next year we'll win the champions
9124960,37,0,Forza juve next year we'll win the champions
9866200,38,1,Forza juve next year we'll win the champions
9215798,39,1,Forza juve next year we'll win the champions
9203169,40,0,Forza juve next year we'll win the champions
9042449,41,1,Forza juve next year we'll win the champions
9079396,42,1,Forza juve next year we'll win the champions
10896549,43,1,Forza juve next year we'll win the champions
9723354,44,0,Forza juve next year we'll win the champions
10540939,45,1,Forza juve next year we'll win the champions
8980916,46,1,Forza juve next year we'll win the champions
10075387,47,1,Forza juve next year we'll win the champions
9438417,48,1,Forza juve next year we'll win the champions
10484910,49,1,Forza juve next year we'll win the champions
10339222,50,1,Forza juve next year we'll win the champions
9227690,51,1,Forza juve next year we'll win the champions
9601604,52,1,Forza juve next year we'll win the champions
9176165,53,0,Forza juve next year we'll win the champions
9864256,54,1,Forza juve next year we'll win the champions
9016726,55,1,Forza juve next year we'll win the champions
9488840,56,1,Forza juve next year we'll win the champions
9803698,57,1,Forza juve next year we'll win the champions
9090808,58,1,Forza juve next year we'll win the champions
9854826,59,1,Forza juve next year we'll win the champions
9574477,60,1,Forza juve next year we'll win the champions
9678893,61,1,Forza juve next year we'll win the champions
9531052,62,1,Forza juve next year we'll win the champions
9793134,63,1,Forza juve next year we'll win the champions
9357945,64,1,Forza juve next year we'll win the champions
9043458,65,1,Forza juve next year we'll win the champions
9096949,66,1,Forza juve next year we'll win the champions
9006811,67,1,Forza juve next year we'll win the champions
9429645,68,1,Forza juve next year we'll win the champions
10046729,69,0,Forza juve next year we'll win the champions
10444564,70,1,Forza juve next year we'll win the champions
10134538,71,1,Forza juve next year we'll win the champions
9180997,72,1,Forza juve next year we'll win the champions
8982479,73,0,Forza juve next year we'll win the champions
9309996,74,1,Forza juve next year we'll win the champions
10218925,75,0,Forza juve next year we'll win the champions
9866677,76,1,Forza juve next year we'll win the champions
9347997,77,1,Forza juve next year we'll win the champions
9265831,78,1,Forza juve next year we'll win the champions
9217881,79,1,Forza juve next year we'll win the champions
10520834,80,1,Forza juve next year we'll win the champions
9269545,81,1,Forza juve next year we'll win the champions
10611290,82,0,Forza juve next year we'll win the champions
9755835,83,1,Forza juve next year we'll win the champions
9331923,84,1,Forza juve next year we'll win the champions
9053255,85,1,Forza juve next year we'll win the champions
9846646,86,1,Forza juve next year we'll win the champions
9206685,87,0,Forza juve next year we'll win the champions
9170005,88,0,Forza juve next year we'll win the champions
8979501,89,1,Forza juve next year we'll win the champions
10263046,90,1,Forza juve next year we'll win the champions
9471157,91,1,Forza juve next year we'll win the champions
9092417,92,1,Forza juve next year we'll win the champions
9866670,93,0,Forza juve next year we'll win the champions
9079216,94,1,Forza juve next year we'll win the champions
9956954,95,1,Forza juve next year we'll win the champions
9115967,96,1,Forza juve next year we'll win the champions
9285207,97,0,Forza juve next year we'll win the champions
10603386,98,1,Forza juve next year we'll win the champions
8997870,99,0,Forza juve next year we'll win the champions
10544844,100,0,Forza juve next year we'll win the champions
9136975,101,1,Forza juve next year we'll win the champions
9056444,102,1,Forza juve next year we'll win the champions
8991262,103,1,Forza juve next year we'll win the champions
9821895,104,0,Forza juve next year we'll win the champions
9259618,105,0,Forza juve next year we'll win the champions
10474869,106,1,Forza juve next year we'll win the champions
9102232,107,0,Forza juve next year we'll win the champions
9797110,108,1,Forza juve next year we'll win the champions
9001437,109,1,Forza juve next year we'll win the champions
9618648,110,0,Forza juve next year we'll win the champions
9412354,111,0,Forza juve next year we'll win the champions
8977421,112,1,Forza juve next year we'll win the champions
8983255,113,1,Forza juve next year we'll win the champions
9406968,114,1,Forza juve next year we'll win the champions
9298823,115,0,Forza juve next year we'll win the champions
10210167,116,0,Forza juve next year we'll win the champions
9284197,117,1,Forza juve next year we'll win the champions
9229548,118,0,Forza juve next year we'll win the champions
10098415,119,0,Forza juve next year we'll win the champions
9283858,120,1,Forza juve next year we'll win the champions
9457859,121,0,Forza juve next year we'll win the champions
10022865,122,1,Forza juve next year we'll win the champions
9371798,123,0,Forza juve next year we'll win the champions
10703741,124,1,Forza juve next year we'll win the champions
9049214,125,1,Forza juve next year we'll win the champions
9423206,126,1,Forza juve next year we'll win the champions
9738094,127,1,Forza juve next year we'll win the champions
10484805,128,1,Forza juve next year we'll win the champions
9283792,129,1,Forza juve next year we'll win the champions
10379848,130,1,Forza juve next year we'll win the champions
10425386,131,0,Forza juve next year we'll win the champions
9042291,132,0,Forza juve next year we'll win the champions
9182971,133,1,Forza juve next year we'll win the champions
9224474,134,0,Forza juve next year we'll win the champions
9373773,135,1,Forza juve next year we'll win the champions
9246966,136,1,Forza juve next year we'll win the champions
9939190,137,1,Forza juve next year we'll win the champions
9109636,138,1,Forza juve next year we'll win the champions
9994817,139,1,Forza juve next year we'll win the champions
10227098,140,1,Forza juve next year we'll win the champions
9698312,141,1,Forza juve next year we'll win the champions
9227703,142,1,Forza juve next year we'll win the champions
9807864,143,1,Forza juve next year we'll win the champions
10305202,144,1,Forza juve next year we'll win the champions
9348722,145,1,Forza juve next year we'll win the champions
9096377,146,1,Forza juve next year we'll win the champions
10220194,147,1,Forza juve next year we'll win the champions
9212011,148,0,Forza juve next year we'll win the champions
9464664,149,1,Forza juve next year we'll win the champions
10184654,150,0,Forza juve next year we'll win the champions
8982488,151,1,Forza juve next year we'll win the champions
9934195,152,1,Forza juve next year we'll win the champions
9135917,153,1,Forza juve next year we'll win the champions
9150117,154,1,Forza juve next year we'll win the champions
10316369,155,1,Forza juve next year we'll win the champions
9093217,156,1,Forza juve next year we'll win the champions
9365792,157,0,Forza juve next year we'll win the champions
9799859,158,1,Forza juve next year we'll win the champions
9053436,159,1,Forza juve next year we'll win the champions
10222304,160,1,Forza juve next year we'll win the champions
9497703,161,1,Forza juve next year we'll win the champions
10166338,162,1,Forza juve next year we'll win the champions
9643000,163,1,Forza juve next year we'll win the champions
8984697,164,1,Forza juve next year we'll win the champions
8975674,165,1,Forza juve next year we'll win the champions
9013152,166,1,Forza juve next year we'll win the champions
9584888,167,1,Forza juve next year we'll win the champions
9572754,168,1,Forza juve next year we'll win the champions
9094759,169,0,Forza juve next year we'll win the champions
9094666,170,1,Forza juve next year we'll win the champions
10111246,171,1,Forza juve next year we'll win the champions
9243259,172,1,Forza juve next year we'll win the champions
9241609,173,1,Forza juve next year we'll win the champions
9738327,174,0,Forza juve next year we'll win the champions
9923417,175,0,Forza juve next year we'll win the champions
10345913,176,1,Forza juve next year we'll win the champions
10008261,177,1,Forza juve next year we'll win the champions
8990769,178,0,Forza juve next year we'll win the champions
8972024,179,1,Forza juve next year we'll win the champions
9870424,180,1,Forza juve next year we'll win the champions
10599580,181,1,Forza juve next year we'll win the champions
10744997,182,1,Forza juve next year we'll win the champions
9306330,183,1,Forza juve next year we'll win the champions
10743645,184,0,Forza juve next year we'll win the champions
9516453,185,1,Forza juve next year we'll win the champions
10626237,186,1,Forza juve next year we'll win the champions
9230152,187,1,Forza juve next year we'll win the champions
9128325,188,1,Forza juve next year we'll win the champions
10702726,189,1,Forza juve next year we'll win the champions
10356493,190,1,Forza juve next year we'll win the champions
9321672,191,1,Forza juve next year we'll win the champions
9109187,192,1,Forza juve next year we'll win the champions
10152376,193,1,Forza juve next year we'll win the champions
10002195,194,1,Forza juve next year we'll win the champions
9613267,195,1,Forza juve next year we'll win the champions
8970783,196,1,Forza juve next year we'll win the champions
9877774,197,1,Forza juve next year we'll win the champions
10697100,198,1,Forza juve next year we'll win the champions
9759382,199,0,Forza juve next year we'll win the champions
10614258,200,0,Forza juve next year we'll win the champions
9113177,201,1,Forza juve next year we'll win the champions
9355935,202,1,Forza juve next year we'll win the champions
9022836,203,1,Forza juve next year we'll win the champions
9866659,204,1,Forza juve next year we'll win the champions
9807083,205,1,Forza juve next year we'll win the champions
9052247,206,0,Forza juve next year we'll win the champions
9349952,207,1,Forza juve next year we'll win the champions
9593047,208,1,Forza juve next year we'll win the champions
10424937,209,0,Forza juve next year we'll win the champions
9511942,210,1,Forza juve next year we'll win the champions
9056707,211,1,Forza juve next year we'll win the champions
8972231,212,1,Forza juve next year we'll win the champions
10075388,213,1,Forza juve next year we'll win the champions
10338096,214,1,Forza juve next year we'll win the champions
10157476,215,0,Forza juve next year we'll win the champions
8980606,216,1,Forza juve next year we'll win the champions
9307336,217,1,Forza juve next year we'll win the champions
9506392,218,1,Forza juve next year we'll win the champions
9331911,219,1,Forza juve next year we'll win the champions
8980476,220,1,Forza juve next year we'll win the champions
10590824,221,1,Forza juve next year we'll win the champions
10613713,222,1,Forza juve next year we'll win the champions
9498814,223,0,Forza juve next year we'll win the champions
9170197,224,1,Forza juve next year we'll win the champions
9499594,225,1,Forza juve next year we'll win the champions
9704165,226,0,Forza juve next year we'll win the champions
10908200,227,0,Forza juve next year we'll win the champions
8977579,228,1,Forza juve next year we'll win the champions
9947377,229,1,Forza juve next year we'll win the champions
9204862,230,1,Forza juve next year we'll win the champions
10093545,231,1,Forza juve next year we'll win the champions
10514545,232,1,Forza juve next year we'll win the champions
9193955,233,1,Forza juve next year we'll win the champions
10911710,234,0,Forza juve next year we'll win the champions
9571619,235,0,Forza juve next year we'll win the champions
9098603,236,1,Forza juve next year we'll win the champions
10207964,237,1,Forza juve next year we'll win the champions
10188258,238,1,Forza juve next year we'll win the champions
9163159,239,1,Forza juve next year we'll win the champions
9319284,240,1,Forza juve next year we'll win the champions
9280703,241,0,Forza juve next year we'll win the champions
9391622,242,1,Forza juve next year we'll win the champions
9020716,243,0,Forza juve next year we'll win the champions
9107186,244,1,Forza juve next year we'll win the champions
9244887,245,1,Forza juve next year we'll win the champions
9101348,246,1,Forza juve next year we'll win the champions
9885428,247,1,Forza juve next year we'll win the champions
8967243,248,0,Forza juve next year we'll win the champions
9115023,249,1,Forza juve next year we'll win the champions
9711862,250,0,Forza juve next year we'll win the champions
9665064,251,1,Forza juve next year we'll win the champions
9405369,252,1,Forza juve next year we'll win the champions
9556750,253,0,Forza juve next year we'll win the champions
9229082,254,0,Forza juve next year we'll win the champions
8995394,255,0,Forza juve next year we'll win the champions
10036670,256,1,Forza juve next year we'll win the champions
10418602,257,0,Forza juve next year we'll win the champions
10099471,258,1,Forza juve next year we'll win the champions
9102106,259,1,Forza juve next year we'll win the champions
9282109,260,1,Forza juve next year we'll win the champions
8986484,261,1,Forza juve next year we'll win the champions
10286717,262,0,Forza juve next year we'll win the champions
10889652,263,0,Forza juve next year we'll win the champions
10500857,264,1,Forza juve next year we'll win the champions
9304970,265,1,Forza juve next year we'll win the champions
9563973,266,1,Forza juve next year we'll win the champions
9469243,267,1,Forza juve next year we'll win the champions
9283504,268,1,Forza juve next year we'll win the champions
9052429,269,0,Forza juve next year we'll win the champions
9025426,270,0,Forza juve next year we'll win the champions
10381047,271,0,Forza juve next year we'll win the champions
10199550,272,1,Forza juve next year we'll win the champions
9249733,273,1,Forza juve next year we'll win the champions
10783604,274,1,Forza juve next year we'll win the champions
9062513,275,1,Forza juve next year we'll win the champions
9970614,276,1,Forza juve next year we'll win the champions
9697667,277,1,Forza juve next year we'll win the champions
9165902,278,1,Forza juve next year we'll win the champions
9150450,279,1,Forza juve next year we'll win the champions
9075515,280,1,Forza juve next year we'll win the champions
9008900,281,1,Forza juve next year we'll win the champions
10708999,282,1,Forza juve next year we'll win the champions
9046240,283,1,Forza juve next year we'll win the champions
9581031,284,0,Forza juve next year we'll win the champions
10324139,285,1,Forza juve next year we'll win the champions
9092983,286,1,Forza juve next year we'll win the champions
10227990,287,1,Forza juve next year we'll win the champions
9508492,288,1,Forza juve next year we'll win the champions
9035321,289,1,Forza juve next year we'll win the champions
9637595,290,1,Forza juve next year we'll win the champions
9621938,291,0,Forza juve next year we'll win the champions
9231984,292,1,Forza juve next year we'll win the champions
9114584,293,1,Forza juve next year we'll win the champions
9097941,294,1,Forza juve next year we'll win the champions
9488651,295,1,Forza juve next year we'll win the champions
9393183,296,0,Forza juve next year we'll win the champions
9135636,297,1,Forza juve next year we'll win the champions
10446198,298,1,Forza juve next year we'll win the champions
8980140,299,0,Forza juve next year we'll win the champions
9038535,300,0,Forza juve next year we'll win the champions
9426366,301,1,Forza juve next year we'll win the champions
9321543,302,1,Forza juve next year we'll win the champions
9480890,303,1,Forza juve next year we'll win the champions
9097843,304,1,Forza juve next year we'll win the champions
9975277,305,0,Forza juve next year we'll win the champions
10553880,306,1,Forza juve next year we'll win the champions
10725701,307,1,Forza juve next year we'll win the champions
9393200,308,1,Forza juve next year we'll win the champions
9019550,309,1,Forza juve next year we'll win the champions
10534781,310,1,Forza juve next year we'll win the champions
9336256,311,1,Forza juve next year we'll win the champions
9443905,312,1,Forza juve next year we'll win the champions
9568994,313,1,Forza juve next year we'll win the champions
9048283,314,1,Forza juve next year we'll win the champions
10077781,315,1,Forza juve next year we'll win the champions
9294234,316,1,Forza juve next year we'll win the champions
8979639,317,1,Forza juve next year we'll win the champions
9175727,318,1,Forza juve next year we'll win the champions
8977453,319,0,Forza juve next year we'll win the champions
9401651,320,0,Forza juve next year we'll win the champions
9128393,321,0,Forza juve next year we'll win the champions
10179840,322,1,Forza juve next year we'll win the champions
9548771,323,0,Forza juve next year we'll win the champions
9083397,324,1,Forza juve next year we'll win the champions
9041666,325,0,Forza juve next year we'll win the champions
9962552,326,1,Forza juve next year we'll win the champions
9083397,327,1,Forza juve next year we'll win the champions
10352228,328,0,Forza juve next year we'll win the champions
9140349,329,1,Forza juve next year we'll win the champions
9417573,330,1,Forza juve next year we'll win the champions
9894279,331,0,Forza juve next year we'll win the champions
9241600,332,1,Forza juve next year we'll win the champions
9265157,333,1,Forza juve next year we'll win the champions
9138712,334,1,Forza juve next year we'll win the champions
9088838,335,1,Forza juve next year we'll win the champions
9221560,336,1,Forza juve next year we'll win the champions
9443110,337,1,Forza juve next year we'll win the champions
9433494,338,1,Forza juve next year we'll win the champions
9138246,339,1,Forza juve next year we'll win the champions
9993188,340,1,Forza juve next year we'll win the champions
9488838,341,1,Forza juve next year we'll win the champions
