:START_ID,:END_ID
8966836,361
8966933,438
8966943,381
8966992,444
8967010,229
8967011,84
8967014,163
8967018,255
8967031,364
8967034,495
8967035,18
8967116,77
8967128,368
8967145,1
8967146,196
8967183,232
8967186,195
8967187,202
8967220,90
8967221,476
8967236,227
8967238,164
8967243,483
8967262,354
8967273,323
8967280,195
8967282,350
8967310,273
8967311,114
8967314,243
8967322,397
8967411,3
8967419,94
8967421,341
8967437,186
8967444,181
8967464,435
8967469,453
8967475,309
8967477,68
8967478,392
8967504,215
8967514,464
8967524,387
8967533,130
8967544,161
8967564,31
8967625,22
8967640,28
8967656,313
8967733,483
8967734,414
8967792,158
8967794,107
8967796,367
8967827,250
8967971,365
8967987,41
8967991,218
8968002,119
8968014,396
8968015,130
8968143,493
8968153,379
8968203,490
8968204,110
8968233,475
8968249,75
8968285,301
8968377,474
8968394,345
8968488,253
8968490,187
8968513,168
8968536,25
8968571,310
8968588,481
8968591,328
8968595,256
8968600,76
8968609,436
8968611,258
8968628,5
8968629,10
8968644,73
8968647,153
8968649,413
8968650,252
8968661,402
8968686,31
8968687,464
8968690,405
8968691,40
8968694,301
8968697,358
8968700,257
8968711,361
8968714,375
8968717,48
8968744,199
8968745,148
8968746,309
8968756,488
8968765,310
8968788,261
8968800,452
8968801,319
8968805,433
8968808,126
8968809,108
8968846,305
8968851,192
8968875,378
8968882,190
8968892,398
8968903,453
8968919,493
8968969,294
8968971,5
8968974,161
8968978,280
8968988,258
8968994,45
8968995,342
8968999,355
8969037,401
8969043,473
8969063,94
8969088,140
8969089,388
8969091,17
8969102,336
8969112,407
8969119,332
8969120,473
8969134,438
8969159,349
8969209,93
8969212,49
8969342,404
8969343,261
8969362,347
8969405,109
8969420,315
8969459,74
8969565,480
8969602,496
8969626,249
8969631,460
8969658,187
8969678,414
8969704,280
8969707,398
8969801,177
8969815,105
8969826,393
8969837,342
8969838,217
8969839,424
8969860,301
8969862,371
8969864,298
8969871,426
8969874,407
8969877,191
8969900,247
8969901,497
8969909,88
8969910,418
8969919,198
8969939,485
8969951,95
8969990,375
8969991,155
8970015,190
8970026,376
8970043,353
8970046,461
8970051,398
8970177,415
8970220,84
8970222,205
8970233,99
8970240,130
8970274,486
8970305,406
8970307,174
8970365,470
8970373,82
8970386,79
8970401,378
8970415,444
8970417,154
8970418,156
8970428,493
8970443,4
8970511,138
8970563,400
8970591,122
8970593,230
8970617,295
