:START_ID,:END_ID
100,4467
87,3639
127,5208
95,4092
147,5356
114,196
93,4548
148,4953
127,1781
116,2169
129,83
150,2259
140,2822
92,2532
133,3921
140,1094
90,5100
106,2466
149,5851
149,944
125,2351
90,2275
102,649
129,1689
128,4436
83,300
128,328
94,4537
81,5202
83,726
90,5534
115,1719
87,4741
94,3861
120,2088
89,5879
118,4718
94,3067
106,1470
114,278
115,1774
114,4538
115,4692
148,5818
90,1349
140,5799
109,3900
94,4373
116,4491
150,5280
111,1724
148,2026
147,1751
93,349
94,1439
94,3473
94,3586
112,3684
106,5852
87,3491
109,432
140,2490
90,2384
133,1927
118,1172
95,4286
132,5454
133,336
96,3772
90,1380
132,90
119,5337
118,3674
133,2304
133,3068
147,4008
98,1079
115,2759
107,3643
117,2213
82,3707
90,3002
127,1797
137,1857
132,868
83,705
92,4528
140,3932
118,2695
95,1989
106,2630
138,401
89,4917
125,3715
147,4142
107,5433
98,2970
79,4489
150,3187
94,3509
139,2021
148,5858
138,1315
119,2217
87,123
118,1779
94,2246
96,4313
132,4428
88,4690
79,2078
148,207
139,5121
95,4498
150,893
149,3134
114,5794
125,2564
119,5913
147,3332
133,2990
100,2216
139,1718
137,3125
147,4410
131,2496
94,335
109,2772
139,4765
94,440
109,867
80,3420
132,3364
94,4027
142,1856
142,5139
119,3701
106,5789
87,259
116,3801
119,5602
98,480
135,4275
120,267
111,1879
150,3878
119,5241
127,2520
133,5610
138,2928
95,2972
80,4896
117,5855
112,1365
117,3099
87,3585
80,4574
111,4576
142,5853
149,5381
115,2544
83,2900
114,2516
137,4606
140,1266
111,5052
111,3052
95,5141
147,1717
133,2453
94,5495
140,5397
135,3270
111,3577
120,3139
109,1221
116,2518
100,5827
133,1633
147,2553
116,5951
106,3267
90,3793
147,2981
135,3421
131,4842
111,1883
114,2789
125,4596
115,3634
139,5299
125,1478
140,4137
94,5792
94,3881
114,957
90,911
133,1006
135,168
80,5465
94,4800
150,1956
107,1165
88,2055
133,4352
88,2908
119,4335
100,2583
118,4077
116,892
100,1083
120,4147
120,2189
96,3234
120,4817
132,4018
95,2724
80,2705
114,5371
81,5230
111,2467
82,4990
111,388
139,926
100,3765
96,4874
127,565
139,1298
98,4417
139,3573
107,2899
83,2163
80,4752
128,3841
150,423
111,1197
89,5905
81,676
149,2128
92,3750
98,4210
140,614
127,4787
115,4820
95,2507
100,5550
98,3739
102,155
100,3647
136,3254
83,3936
147,2321
107,5961
111,110
95,143
115,5045
87,5681
140,463
119,5655
120,5688
119,997
148,1433
115,1504
136,4420
95,4075
107,2783
96,992
81,2904
133,2771
149,2252
80,3853
107,1118
116,1041
119,2073
100,1819
135,5706
136,5416
139,1544
116,5762
96,4281
87,5613
136,3322
120,574
114,1508
80,3362
118,3596
82,2818
128,4862
87,1885
100,2751
92,2598
82,4458
133,2993
115,1839
109,5805
87,539
136,1567
115,2343
107,1767
138,4173
148,4407
90,4033
150,4755
132,3984
87,4088
96,62
140,4159
115,2017
112,184
115,4766
82,668
95,475
132,1246
115,5429
133,2107
83,482
116,4082
127,4487
150,5080
82,5089
80,2412
140,422
87,2173
136,3533
115,5604
107,4578
147,3224
100,2297
148,5735
107,3499
87,5149
115,1994
115,3727
115,5118
82,1575
111,296
135,3389
128,1734
140,2096
125,2215
117,4329
115,4012
95,3601
119,4302
80,5925
107,470
114,4962
131,1794
112,1445
111,4205
95,3477
92,1180
111,3872
118,1477
115,1456
111,1631
148,4761
118,527
102,5597
88,2449
140,86
129,428
95,854
89,4358
140,476
119,3764
107,5153
88,3407
133,5394
127,1386
127,2958
109,3889
111,5428
80,5494
150,4194
114,272
80,2414
139,2318
81,1393
100,4231
80,4827
88,1204
149,2732
116,4527
115,2522
90,4935
139,7
131,217
80,3696
80,2847
147,1198
148,605
133,2820
111,3711
140,3622
135,4975
133,2236
114,2566
115,4773
118,1054
133,3330
115,3466
140,3654
94,4448
136,714
133,4977
127,2362
95,5338
111,5124
133,5698
100,365
100,4667
80,4738
147,881
140,187
133,3669
87,4915
109,5529
87,5785
118,5881
147,2781
147,1784
82,1347
87,1056
111,1267
135,4418
127,1285
135,5864
135,2374
89,36
80,3258
119,5869
116,5928
133,3993
138,3272
100,1142
127,617
139,4249
95,887
140,3022
139,3023
133,3039
106,4947
139,631
139,1969
94,2301
114,4061
133,1871
133,3536
109,683
83,114
115,2817
149,240
139,2382
81,3411
128,1902
149,5654
111,2703
116,2939
149,5661
94,4438
94,26
96,1720
93,2153
139,5619
139,922
111,2600
133,4906
140,3151
111,1821
139,2470
81,3673
148,509
95,3230
112,4611
119,4276
119,5897
118,3659
139,311
115,3822
98,5026
139,4647
148,984
111,1702
127,3467
98,3326
116,4542
118,2763
136,3239
140,5172
132,2111
109,1934
119,5038
95,286
132,5784
107,2404
118,4797
148,4952
80,4711
94,472
96,2400
131,1888
142,5552
132,4944
117,1416
116,1194
80,4848
114,4856
80,4819
118,4864
116,2182
149,3559
79,1073
109,3280
80,4208
100,4841
127,5884
147,377
107,5760
119,5693
80,1752
82,1559
119,5004
149,3294
127,228
133,5514
94,5279
79,1329
119,4017
111,2184
135,5829
87,3745
111,4213
81,3644
149,3888
133,3265
139,5350
115,2295
140,4725
138,5304
109,4306
100,609
111,2439
80,3410
92,996
82,2052
117,5325
89,5740
115,5116
118,3082
136,2044
88,4074
150,495
137,3335
119,2668
95,2943
119,3320
129,4560
135,2461
140,5195
116,5315
142,2560
120,1119
136,1547
116,4123
96,1026
132,1338
150,2651
133,2345
139,1408
125,3150
88,2379
120,3390
116,798
149,1149
90,4050
149,1832
140,5685
111,339
118,831
150,3468
142,3749
127,2167
100,56
118,2615
142,5423
135,5705
149,2442
87,5013
139,603
111,2867
115,4514
94,455
90,3660
94,72
88,2106
133,289
136,5668
88,2612
87,1833
139,3763
102,1218
111,5351
94,5667
139,5496
111,4287
109,79
147,1868
147,4654
140,4429
129,3301
135,3939
94,3409
138,96
133,4000
119,1950
98,1048
140,2258
115,1948
83,1305
96,2494
93,3794
88,5572
82,2464
90,3883
94,5339
95,5638
117,3405
139,461
129,5441
80,5868
94,3545
115,5857
133,993
137,3233
112,820
140,4396
111,1932
111,3264
115,2277
94,5110
119,3283
111,2697
149,4730
139,3683
109,2653
115,1758
129,628
109,5144
119,1656
140,277
117,5516
100,1704
136,974
117,299
138,1776
90,5510
125,4485
94,3363
149,1297
119,2937
148,3907
95,2794
92,4729
94,3704
142,2381
132,5843
107,465
115,5223
133,5503
79,5633
149,4293
147,1262
135,591
115,2310
133,3626
100,2888
119,1326
142,4795
119,2741
148,358
148,5909
119,5616
96,4742
118,1759
119,4119
118,4513
102,3527
111,2552
133,814
95,1801
147,5083
139,3508
135,4643
114,670
137,2196
136,4993
148,5744
90,2599
116,1698
139,357
127,2239
120,5244
96,2528
100,118
149,2065
116,3164
129,5143
127,4167
127,4034
87,1392
115,3339
94,5945
142,3162
119,4347
80,1225
89,4693
132,3855
94,1153
142,3566
132,4577
107,160
111,3768
107,5470
117,3583
90,791
116,3531
94,2819
133,5493
147,3780
94,1382
90,2087
139,4165
114,2923
111,4103
118,860
120,2989
140,2036
127,1307
100,5068
102,1803
90,843
133,3181
92,5472
100,2317
138,387
94,104
118,2012
115,858
133,4163
96,795
132,4706
140,1333
114,5320
119,2595
136,4818
95,4157
95,4758
100,5410
150,2645
119,2962
128,3138
100,2824
148,665
132,5324
115,1095
111,5562
111,571
136,3612
118,1053
117,2152
114,5363
140,832
133,2531
119,1553
133,975
116,4572
111,3914
133,5579
115,5600
118,2929
115,5958
148,880
133,4522
88,4618
116,3761
150,4903
80,5051
148,2389
100,963
98,5434
119,3496
127,3173
148,3863
88,3963
80,4507
119,2207
119,4926
142,1353
117,5167
80,4554
96,5743
96,3122
119,4262
149,4621
147,3156
133,2166
111,384
96,1414
133,5030
115,5865
115,717
111,34
111,559
133,564
132,1154
148,1673
80,5824
96,3445
107,535
148,5285
150,5473
119,2377
109,2669
114,3016
96,4518
140,3489
90,4575
116,4241
100,2069
102,4056
95,1594
120,4023
96,1715
120,769
148,2565
87,1217
139,3484
120,1919
150,27
115,5535
82,2936
148,2488
118,2024
109,1144
149,5814
149,5253
88,381
133,3790
118,24
133,4901
125,921
96,2761
90,5206
94,3093
81,4285
137,95
117,3463
93,5444
96,2204
116,5528
80,2231
115,5754
92,3161
118,97
149,2222
117,3923
107,4829
90,4568
81,3464
100,4763
89,1441
115,643
96,885
95,2422
127,57
82,1711
118,1532
133,1829
96,5126
135,55
80,5778
82,2357
116,1772
118,2910
116,3903
111,4098
115,477
135,2320
127,1863
95,1476
147,1290
117,4251
114,4783
133,5006
142,4397
149,5632
111,2249
139,3395
135,4150
114,3240
118,4243
114,2956
133,3130
109,737
118,3849
135,1116
87,1775
87,191
95,2338
147,3953
114,4821
117,4653
140,64
115,1019
81,5686
119,3978
95,2242
96,4639
87,4010
133,3
115,2451
116,3434
94,4710
111,5290
106,5680
107,4735
96,5007
95,1399
149,416
131,1768
95,1802
111,4028
102,3269
95,130
117,4431
125,5298
111,5935
140,3733
142,1766
94,708
149,3723
136,41
133,4402
111,1658
117,520
136,5168
89,1943
140,3543
135,4296
140,1181
147,1707
149,2927
90,3452
140,250
106,61
115,4280
114,4145
120,5942
82,369
116,347
119,5145
95,948
139,1062
117,1140
119,3241
127,2849
136,2286
100,295
98,4541
148,2050
129,1201
92,2786
115,5938
111,89
119,5243
112,4093
119,5480
107,4670
107,4330
109,92
140,2016
116,1634
131,1014
132,186
96,3916
125,2880
133,1657
88,4517
94,773
128,2306
135,4317
148,1808
83,3597
140,4124
79,4129
147,3393
111,943
131,4488
127,1410
114,1403
120,1550
119,1293
139,536
116,1688
79,5420
139,1461
119,1760
139,52
127,180
95,5800
95,1139
90,1372
120,2539
149,5727
139,3814
81,5988
112,5918
139,5425
142,1897
125,4978
132,3839
111,1428
136,503
82,908
135,886
112,4464
111,5894
129,2848
92,1506
87,2556
80,5455
118,1580
90,2715
120,4166
140,1401
95,392
90,608
115,4826
114,772
117,3716
94,4836
120,1945
149,796
107,2992
80,5876
140,1394
95,4556
90,1179
95,3296
94,2426
87,2965
129,3212
147,1614
100,3523
80,4950
98,551
140,4492
147,5564
109,438
140,3029
118,3999
111,1676
95,3773
140,1818
127,5728
148,1437
131,3788
129,910
136,2185
90,3244
94,3128
147,888
133,857
116,1350
111,5187
118,2719
88,4455
139,3087
80,4672
139,4760
87,4020
115,4051
127,5137
80,5924
94,2717
94,940
95,2887
140,3555
82,3871
118,3046
107,4804
120,5178
139,2708
139,1289
115,3845
95,4484
132,2694
80,343
95,3598
119,2814
116,3541
95,3167
94,2850
119,740
102,238
88,3069
92,870
148,3582
87,5151
149,5214
128,5211
149,2291
140,2827
132,4674
140,4164
119,1589
120,4365
136,3215
119,1987
107,4486
107,1265
150,5200
115,5406
80,912
149,4221
119,2254
132,3159
95,2285
114,4809
133,2243
115,675
98,2253
127,4254
82,2628
147,5450
117,135
116,4597
136,1571
149,3909
79,4929
127,3338
94,619
111,1489
111,1432
111,1982
119,1910
150,1727
128,2533
148,1205
95,3795
82,5742
100,1744
96,2034
147,5803
88,4314
139,77
135,3630
119,1539
96,5512
147,1514
112,2350
82,664
94,5954
147,4478
88,4182
119,1921
135,1086
120,3937
95,4644
133,1069
150,1411
115,3817
136,427
120,4400
139,237
88,4300
133,5390
81,5911
79,5474
95,5166
127,4479
135,3558
139,5310
111,2325
119,1534
88,3667
96,353
115,1787
95,5779
116,274
92,3638
119,4622
149,4912
90,4097
109,1490
80,2825
