:START_ID,:END_ID
63,11998315
42,11998316
60,11998321
27,11998323
16,11998325
59,11998326
52,11998327
33,11998328
64,11998331
46,11998332
56,11998334
45,11998335
64,11998336
62,11998338
29,11998339
37,11998341
75,11998345
14,11998346
63,11998347
30,11998349
73,11998352
15,11998354
57,11998355
24,11998357
29,11998359
57,11998361
53,11998362
70,11998365
60,11998368
63,11998371
13,11998372
31,11998376
15,11998377
20,11998378
73,11998379
61,11998381
27,11998383
71,11998384
13,11998385
12,11998388
57,11998391
67,11998392
24,11998393
24,11998397
74,11998398
1,11998401
21,11998402
60,11998403
19,11998407
35,11998408
45,11998409
67,11998412
10,11998415
39,11998416
50,11998417
58,11998418
7,11998424
6,11998425
42,11998427
49,11998428
23,11998432
53,11998433
29,11998434
20,11998435
71,11998436
33,11998437
25,11998438
41,11998439
47,11998442
13,11998443
9,11998447
9,11998448
7,11998449
41,11998451
68,11998452
54,11998453
68,11998455
33,11998456
36,11998457
45,11998458
24,11998461
43,11998463
36,11998465
53,11998467
56,11998468
39,11998471
74,11998474
69,11998478
36,11998479
29,11998481
71,11998482
71,11998484
69,11998485
59,11998491
47,11998492
51,11998493
71,11998496
41,11998498
26,11998499
60,11998501
10,11998502
72,11998503
3,11998504
20,11998506
66,11998507
64,11998508
2,11998509
14,11998513
9,11998514
36,11998521
72,11998522
62,11998523
61,11998524
69,11998525
53,11998526
7,11998528
9,11998534
60,11998535
75,11998538
52,11998539
12,11998541
24,11998544
12,11998545
75,11998546
57,11998548
30,11998549
42,11998553
3,11998555
26,11998557
65,11998558
10,11998559
60,11998563
8,11998564
2,11998565
21,11998567
31,11998568
6,11998569
60,11998572
38,11998573
39,11998574
53,11998576
63,11998582
5,11998583
26,11998586
61,11998587
22,11998588
62,11998589
17,11998591
42,11998592
2,11998594
4,11998597
45,11998598
54,11998602
50,11998604
44,11998605
51,11998606
16,11998608
18,11998609
35,11998611
26,11998612
31,11998615
33,11998616
72,11998617
17,11998619
28,11998624
67,11998625
40,11998628
44,11998639
20,11998642
66,11998643
24,11998646
51,11998647
47,11998648
31,11998649
31,11998651
73,11998652
24,11998654
2,11998655
13,11998657
18,11998658
30,11998661
64,11998663
56,11998664
51,11998665
9,11998667
5,11998669
73,11998671
55,11998673
37,11998674
67,11998675
44,11998677
53,11998682
69,11998683
63,11998684
39,11998685
47,11998687
60,11998688
71,11998689
4,11998691
57,11998694
52,11998695
47,11998698
75,11998699
48,11998701
50,11998706
55,11998707
44,11998708
44,11998709
3,11998712
60,11998713
14,11998715
13,11998717
37,11998719
19,11998721
26,11998722
54,11998724
66,11998727
20,11998732
60,11998734
43,11998735
40,11998737
59,11998738
70,11998741
47,11998742
49,11998743
33,11998744
33,11998745
74,11998746
24,11998747
35,11998748
53,11998749
61,11998752
24,11998753
51,11998754
59,11998755
65,11998756
47,11998759
15,11998762
68,11998764
3,11998765
60,11998766
