:ID,journal:string
11998315,Sci. Eng. Ethics
11998316,J. Econ. Theory
11998321,IEEE Control. Syst. Lett.
11998323,Internet Math.
11998325,Manag. Sci.
11998326,Simul.
11998327,Rev. Iberoam. de Tecnol. del Aprendiz.
11998328,Dyn. Games Appl.
11998331,J. Sci. Res.
11998332,J. Braz. Comput. Soc.
11998334,Reliab. Comput.
11998335,Int. J. Intell. Syst. Technol. Appl.
11998336,Frontiers Blockchain
11998338,Des. Autom. Embed. Syst.
11998339,Comput. Phys. Commun.
11998341,Decis. Support Syst.
11998345,IEEE Trans. Veh. Technol.
11998346,J. Assoc. Inf. Sci. Technol.
11998347,J. Am. Soc. Inf. Sci.
11998349,Proc. ACM Program. Lang.
11998352,Soc. Choice Welf.
11998354,CLEI Electron. J.
11998355,SIGARCH Comput. Archit. News
11998357,Technometrics
11998359,Neural Comput. Appl.
11998361,J. Exp. Theor. Artif. Intell.
11998362,Inteligencia Artif.
11998365,J. Inf. Secur. Appl.
11998368,Fundam. Informaticae
11998371,J. Nonlinear Sci.
11998372,Int. J. Comput. Sci. Eng.
11998376,Int. J. Inf. Syst. Serv. Sect.
11998377,J. Inf. Hiding Multim. Signal Process.
11998378,J. Geogr. Syst.
11998379,IEEE Trans. Multi Scale Comput. Syst.
11998381,Int. J. Autom. Control.
11998383,Discret. Event Dyn. Syst.
11998384,Turkish J. Electr. Eng. Comput. Sci.
11998385,"J. Comb. Theory, Ser. B"
11998388,Chic. J. Theor. Comput. Sci.
11998391,IPSJ Trans. Syst. LSI Des. Methodol.
11998392,Electron. J. Comb.
11998393,Int. J. Handheld Comput. Res.
11998397,Asia Pac. J. Oper. Res.
11998398,Artif. Life
11998401,Open Syst. Inf. Dyn.
11998402,Digit. Investig.
11998403,Electron. Commer. Res.
11998407,Datenbank-Spektrum
11998408,Linguamática
11998409,AI Matters
11998412,Rev. d'Intelligence Artif.
11998415,Int. J. Appl. Math. Comput. Sci.
11998416,J. Intell. Fuzzy Syst.
11998417,IEEE J. Solid State Circuits
11998418,ACM Trans. Multim. Comput. Commun. Appl.
11998424,Online Inf. Rev.
11998425,Int. J. Comput. Sci. Sport
11998427,Int. J. Cooperative Inf. Syst.
11998428,SN Comput. Sci.
11998432,WIREs Data Mining Knowl. Discov.
11998433,J. Internet Serv. Appl.
11998434,J. Log. Algebraic Methods Program.
11998435,J. Log. Program.
11998436,J. Semant.
11998437,Networks Heterog. Media
11998438,J. Convergence Inf. Technol.
11998439,ACM Trans. Access. Comput.
11998442,Gov. Inf. Q.
11998443,IEEE Trans. Medical Imaging
11998447,IEEE Data Eng. Bull.
