author_keywords;;
Environment 00 Goal(s) 00 Intelligent agents 00 Proficiency 00 Self-assessment 00 System;;
;;
;;
Computer-aided engineering 00 Data-driven engineering;;
Dating 00 Emerging adults 00 Mobile phones 00 Uses and gratifications;;
Compressed sensing 00 Data-driven models 00 Koopman modes 00 Modeling 00 Physics-based models 00 Power system dynamics;;
Back face deformation 00 Ballistic impact 00 Body armor 00 Fiber Bragg grating 00 Kevlar;;
Collaboration 00 Cybersickness 00 Immersive 00 Spatial awareness 00 Viewpoint 00 Viewpoint sharing 00 Virtual Reality;;
Co-simulation 00 Cyber-physical systems 00 ICT irregularities 00 Probabilistic observability 00 State estimation;;
biosensors 00 membrane 00 microfabrication 00 microfluidics 00 nanopores;;
Carbon nanotube 00 CO2 capture 00 Life cycle assessment 00 Payback period 00 Solid amine;;
FSpW 00 Refill friction stir spot welding 00 RFSSW 00 Temperature 00 Tool life;;
Cooperating robots 00 multi-robot systems 00 path planning for multiple mobile robots or agents;;
Fiber Bragg Grating 00 High speed measurements 00 Optical fiber sensors;;
Bézier extraction 00 Dual basis 00 Isogeometric analysis 00 Locking 00 Reissner–Mindlin 00 Shells;;
;;
Acoustic 00 Concrete bridge deck 00 Delamination 00 Impact-echo 00 Sounding;;
;;
Active thermal control 00 Deployable radiator 00 Spacecraft thermal control;;
;;
Catalysis 00 CO2 reduction 00 Coal 00 Gasification 00 Ideal syngas 00 Pyrolysis;;
bandpass filter 00 biquad filter 00 particle detector 00 pulse shaping 00 Sallen-Key 00 Shaper;;
content 00 deep learning 00 metadata 00 Research paper;;
Atomistic simulations 00 Grain boundaries 00 Nickel;;
analog-to-digital converter (ADC) 00 delta sigma (?S) 00 incremental data converters 00 multi stage noise shaping (MASH) 00 multi-step 00 time-domain analysis 00 two step;;
Cooperative navigation 00 direction-of-arrival estimation 00 MIMO systems 00 pose estimation 00 relative attitude estimation 00 unmanned aerial vehicles;;
aerial robotics 00 multiplicative extended Kalman filter 00 Sensor fusion 00 vision-aided inertial navigation;;
Algal-bacterial culture 00 Membrane bioreactor 00 Microalgae 00 Photo-bioreactor 00 Wastewater treatment;;
;;
Design for humans 00 Design for X 00 Product development 00 Sustainable design 00 User-centered design;;
Aerial robotics 00 epipolar geometry 00 multi-target tracking 00 pose estimation 00 unmanned aircraft systems 00 vision-based flight;;
Electromagnetic sensors 00 In vivo measurements 00 Inverse kinematics 00 ISB 00 Landmark 00 Postural 00 Sensor-to-body 00 Sensor-to-segment 00 Upper limb 00 Whole arm;;
;;
Compact mechanism 00 Conical surface 00 Developable mechanism 00 Spherical mechanism;;
;;
Field-programmable gate array (FPGA) 00 neural networks 00 quantization 00 reliability;;
;;
Separation 00 Aliased 00 CME analysis 00 confounding 00 effect heredity 00 Effect sparsity 00 Hierarchical order 00 Factor analysis;;
Aeronautical telemetry 00 continuous phase modulation (CPM) 00 frequency-selective multipath 00 shaped offset QPSK (SOQPSK) 00 sparse channel estimation;;
;;
Dashboards 00 Distributed learning environments 00 Human-computer interface 00 Interactive learning environments 00 Learning analytics 00 Online learning systems;;
Additive manufacturing 00 Dislocation structures 00 Elastic strain 00 Microstructural evolution 00 Nickel superalloys 00 Rapid solidification;;
footwear 00 Marathon racing 00 performance;;
additive manufacturing 00 thin liquid films;;
;;
;;
Design for humans 00 Design for X 00 Product development 00 Sustainable design;;
;;
3D printers 00 Additives 00 Drying 00 Ink jet printing 00 Saturation (materials composition) 00 Stainless steel 00 Additive manufacturing process 00 Droplet volume 00 Drying condition 00 Heating conditions 00 Postprocessing methods 00 Saturation levels 00 Saturation limits 00 Saturation parameters 00 Drops;;
current-voltage measurement 00 DNA nanofabrication 00 electroless plating 00 gold nanorods 00 nanoelectronics 00 tellurium nanorods;;
Data structure 00 Genomics 00 K-mer 00 Parallel programming;;
complex dynamics 00 Dynamic network 00 intrinsic stability 00 recurrent neural network 00 specialization 00 spectral properties;;
Biharmonic problem 00 C1 continuity 00 Dual basis 00 Dual mortar method 00 Enriched Bézier dual basis 00 Patch coupling;;
Feature description algorithm 00 Log-polar coordinates 00 Rotation-invariance 00 Scale-invariance 00 Vision-based measurement;;
Discrete-ordinates method 00 Experiments and modelling 00 Radiative heat transfer 00 Rotary kiln;;
;;
;;
3D printing 00 biocompatibility 00 cytotoxicity 00 microfluidics 00 resin 00 spheroid;;
;;
Design for humans 00 Design for X 00 Product design 00 Sustainable design;;
control architectures and programming 00 deep learning in robotics and automation 00 model learning for control 00 Optimization and optimal control;;
electronic design automation 00 fault detection 00 radiation effects 00 redundancy 00 reliability;;
3D hydrodynamic focusing 00 Biosensor 00 Lab-on-a-chip 00 Liquid-core waveguide 00 Microfluidic 00 Microscale channel 00 Optofluidic 00 Reservoir effect 00 Single layer;;
;;
;;
;;
Co-Sn alloy 00 combinatorial 00 high-throughput characterization 00 Li-metal battery 00 protection layer;;
Greater sage-grouse 00 Photogrammetry 00 Sagebrush 00 SUAS;;
Carbohydrate fuel cell 00 Glucose fuel cell 00 Glucose oxidation 00 Oxidation efficiency 00 Viologen mediator;;
ADC 00 comparator 00 low power 00 SAR 00 subthrehold operation 00 ultra low supply 00 variations;;
Cooling rate 00 Friction welding 00 Microstructure control 00 Rotary friction welding 00 Temperature control 00 Transformation;;
Date grading 00 Evolutionary learning 00 Oyster grading 00 Quality grading 00 Smart camera 00 Visual inspection;;
Feature descriptor 00 FPGA 00 Synthetic basis;;
Finite element analysis (FEA) 00 Nanocomposite 00 Percolation theory 00 Piezoresistive sensor;;
Additive manufacturing 00 Demineralized bone matrix 00 Laser sintering 00 Optimization 00 Polycaprolactone 00 Porosity 00 Shrinkage 00 Tensile strength;;
Chained pseudo-rigid-body model 00 Compliant mechanisms 00 Contact analysis 00 Large deflection;;
Ash 00 Biomass 00 Gasification 00 Non-catalytic;;
Density functional theory 00 Generalized grids 00 k-point grids 00 k-point sampling 00 Monkhorst-Pack 00 Regular grids;;
Electromagnetic isolation 00 frequency division duplexing 00 microwave printed circuit board 00 small aircraft 00 x band;;
Gas chromatography 00 MEMS 00 microcolumn 00 silicon DRIE 00 thermal gradient;;
;;
Natural convection 00 Slip length 00 Superhydrophobic surface 00 Temperature jump length 00 Vertical wall;;
Alumina 00 Catalysis 00 Nickel 00 Oxidative dehydrogenation 00 Silica;;
Auto tuning 00 Friction stir welding 00 Relay feedback test 00 System identification 00 Temperature control;;
Aged parameter estimation 00 Battery management systems 00 BCJR Algorithm 00 Interacting multiple model Kalman filter 00 Lithium ion battery 00 Viterbi algorithm;;
Aeronautical telemetry 00 compressed sensing 00 frequency-selective multi-path 00 sparse channel 00 sparse equalizers 00 transmit diversity;;
Discrete ordinates method 00 Heat transfer 00 Iron ore 00 Rotary Kiln;;
;;
back stress 00 cpfem 00 ebsd 00 gnd 00 tantalum;;
Environmental dynamic capability 00 Green human resource management bundles 00 Green product innovation 00 Green team creativity 00 Technological turbulence;;
;;
drug delivery 00 latanoprost 00 Silicone hydrogel contact lens 00 swelling;;
Ceragenins 00 Human cathelicidin 00 LL-37 peptide 00 Membrane active compounds 00 Nanoantibiotics 00 Nanomedicine 00 Nanotechnology;;
;;
;;
bubble 00 flow optimization 00 in situ 00 LCM 00 Void;;
Computational modeling 00 Integrated circuit modeling 00 Integrated Optics 00 Photonics 00 Photonics 00 Scattering 00 Scattering parameters 00 Simulation 00 Tools 00 Transmission line matrix methods;;
Clothes 00 Human engineering 00 Product design 00 Textiles 00 Adaptive thinking 00 Cognitive modes 00 Creative thinking 00 Industrial designers 00 Most likely 00 Visual thinking 00 Industrial research;;
Classification (of information) 00 Computational linguistics 00 Intelligent computing 00 Sentiment analysis 00 Transfer learning 00 Based reasonings 00 Commonsense reasoning 00 Emotional classification 00 Empirical evaluations 00 Implicit knowledge 00 Internal representation 00 Linear operations 00 Threat detection 00 Embeddings;;
mems 00 nanofluidics 00 thin films;;
Common cause failure 00 Continuous time Markov chains 00 Systems with repair 00 Triple modular redundancy (TMR);;
dynamics 00 Flexible arms 00 force control 00 motion control;;
Envelope Methods 00 Multi-Resolution 00 Multi-User CAD 00 Partitioning Methods 00 Planar Decomposition;;
Acoustic response 00 Concrete bridge deck 00 Delamination 00 Impact-echo testing;;
;;
;;
;;
;;
Detection 00 Information security 00 Machine learning 00 Malware 00 Neural networks 00 Offensive;;
Bragg diffraction 00 Lattice deformation 00 Machine learning 00 Shock physics 00 Single crystal model 00 X-ray;;
;;
Accelerometer 00 Contact angle 00 Contact line 00 Spreading 00 Ultrasonic vibration 00 Wetting;;
Configuration scrubbing 00 fault injection 00 field-programmable gate arrays (FPGAs) 00 radiation testing 00 single-event effects (SEEs) 00 single-event upset (SEU) 00 single-point failure (SPF) 00 triple modular redundancy (TMR);;
Field-programmable gate arrays (FPGAs) 00 multiple-bit upset (MBU) 00 multiple-cell upset (MCU) 00 radiation testing 00 single-event effects (SEEs);;
Electromagnetic excitation 00 Nondestructive evaluation 00 Nondestructive testing 00 Nonlinear resonant ultrasound spectroscopy;;
Chained-beam-constraint model 00 Contact-aided compliant mechanism 00 Cross-Axis Flexural Pivot 00 Multi software framework;;
Drilling automation 00 Managed pressure drilling 00 Nonlinear model predictive control 00 Physics-based drilling flow model 00 Pressure control;;
;;
;;
Effective area 00 gain-enhancement 00 minimum scattering antennas (MSAs) 00 parasitic elements 00 Poynting vector streamlines 00 receiving antennas;;
Bénard convection 00 Taylor-Couette flow;;
;;
brain tumors 00 complex networks 00 Convolutional neural network 00 network generator 00 randomly generated graph;;
Silent data corruption (SDC) 00 single-event upset (SEU) 00 soft errors 00 software fault tolerance;;
;;
;;
Augmented reality 00 Force feedback 00 Microsoft Hololens 00 Motion planning 00 Robotic arm;;
Signal aliasing 00 Structural health monitoring 00 Sub-Nyquist sampling 00 Vibro-acoustics 00 Video processing;;
Batteries 00 Battery charger 00 Battery chargers 00 control scheme 00 high power efficiency. 00 Inductors 00 quick charging 00 small size 00 Switches 00 Universal Serial Bus 00 Zero current switching 00 Zero voltage switching;;
atomic beams 00 atomic physics 00 atomic sensors 00 microfabricated vapor cells 00 optical frequency standards 00 quantum metrology;;
;;
;;
healthcare cost 00 medical error 00 operational failures 00 survey 00 workarounds;;
;;
;;
