organization:ID,name:string[],type:string
1,Harvard University,University
2,Massachusetts Institute of Technology,University
3,Stanford University,University
4,University of Cambridge,University
5,University of Oxford,University
6,Princeton University,University
7,Columbia University,University
8,University of Chicago,University
9,University of Pennsylvania,University
10,Yale University,University
11,California Institute of Technology,University
12,"University of California, Berkeley",University
13,University of Tokyo,University
14,Cornell University,University
15,"University of Michigan, Ann Arbor",University
16,Johns Hopkins University,University
17,Northwestern University,University
18,"University of California, Los Angeles",University
19,University College London,University
20,Duke University,University
21,PSL University,University
22,University of Illinois at Urbana–Champaign,University
23,University of Washington - Seattle,University
24,University of Toronto,University
25,University of Wisconsin–Madison,University
26,New York University,University
27,McGill University,University
28,Kyoto University,University
29,ETH Zurich,University
30,Imperial College London,University
31,Seoul National University,University
32,Paris-Saclay University,University
33,University of Texas at Austin,University
34,"University of California, San Diego",University
35,Karolinska Institute,University
36,Sorbonne University,University
37,University of Copenhagen,University
38,"University of California, San Francisco",University
39,University of North Carolina at Chapel Hill,University
40,Dartmouth College,University
41,Institut Polytechnique de Paris,University
42,University of Paris,University
43,King's College London,University
44,Ludwig Maximilian University of Munich,University
45,University of Edinburgh,University
46,University of Minnesota - Twin Cities,University
47,Washington University in St. Louis,University
48,University of British Columbia,University
49,Rockefeller University,University
50,Rutgers University–New Brunswick,University
51,University of Southern California,University
52,"University of California, Davis",University
53,Vanderbilt University,University
54,Pennsylvania State University,University
55,Free University of Berlin,University
56,Ohio State University,University
57,University of Manchester,University
58,Tsinghua University,University
59,Peking University,University
60,Humboldt University of Berlin,University
61,Purdue University,University
62,University of Texas Southwestern Medical Center,University
63,University of Melbourne,University
64,Hebrew University of Jerusalem,University
65,University of Zurich,University
66,Brown University,University
67,Weizmann Institute of Science,University
68,University of Colorado Boulder,University
69,University of Virginia,University
70,Heidelberg University,University
71,Utrecht University,University
72,University of Pittsburgh,University
73,University of Chinese Academy of Sciences,University
74,"Texas A&M University, College Station",University
75,"University of Maryland, College Park",University
76,Georgia Institute of Technology,University
77,University of Oslo,University
78,Osaka University,University
79,University of Birmingham,University
80,Technical University of Munich,University
81,University of Alberta,University
82,"University of California, Irvine",University
83,University of Rochester,University
84,University of Amsterdam,University
85,Carnegie Mellon University,University
86,University of Florida,University
87,Leiden University,University
88,Uppsala University,University
89,National University of Singapore,University
90,National Taiwan University,University
91,University of Bristol,University
92,University of Göttingen,University
93,University of Arizona,University
94,Boston University,University
95,"University of California, Santa Barbara",University
96,Erasmus University Rotterdam,University
97,Keio University,University
98,University of Sydney,University
99,University of Geneva,University
100,University of Basel,University
101,University of Leeds,University
102,Shanghai Jiao Tong University,University
103,University of Groningen,University
104,École Polytechnique Fédérale de Lausanne,University
105,University of São Paulo,University
106,University of Texas MD Anderson Cancer Center,University
107,Aarhus University,University
108,University of Tübingen,University
109,University of Queensland,University
110,Zhejiang University,University
111,Indiana University Bloomington,University
112,University of Utah,University
113,Sapienza University of Rome,University
114,University of New South Wales,University
115,Fudan University,University
116,KU Leuven,University
117,University of Southampton,University
