:START_ID,:END_ID
247460,11
1709128,85
1849235,115
1896869,113
5868114,11
5926305,69
5960559,84
5970272,11
5989038,13
5998613,13
5999115,115
6029393,68
6030339,9
6091060,18
6206071,52
6233758,60
6248960,21
6250154,46
6265674,74
6333200,20
6382726,72
6413276,97
6482318,45
6485758,57
6496298,42
6511126,59
6535075,10
6602818,116
6674954,99
6676489,112
6769849,87
6821342,4
6846413,43
6863236,23
6869073,5
6871812,106
6912751,108
6975514,81
7000760,80
7007133,29
7043422,67
7055521,112
7067354,61
7070436,104
7076556,30
7098801,114
7113576,103
7174175,26
7191481,117
7250218,96
7256505,17
7276854,84
7359764,16
7411051,106
7414809,107
7420573,105
7427095,1
7427856,99
7433625,75
7435122,104
7449621,49
7507989,77
7671947,50
7704931,52
7705293,112
7723673,8
7741543,4
7747291,72
7747451,48
7750573,40
7768608,11
7814535,38
7838391,110
7863860,53
7965903,2
7974716,21
8022752,34
8043600,89
8060599,71
8073223,38
8076114,102
8100830,20
8106148,85
8110331,3
8120626,117
8167915,91
8183144,116
8189885,101
8201098,57
8243310,98
8262957,80
8280556,101
8283523,12
8284625,41
8300855,58
8308729,64
8365890,98
8371466,116
8447365,43
8466763,56
8469107,81
8484126,54
8535040,50
8570044,55
8577438,59
8577788,24
8641156,36
8642357,7
8689901,36
8694276,17
8709343,56
8757144,9
8766569,79
8770324,39
8800869,100
8821915,94
8828726,15
8839136,23
8853754,113
